[2021-10-23 17:14:09] [INFO ]  
[2021-10-23 17:14:09] [INFO ] FINCH               + [!] Java Finch Syntactic Engine
[2021-10-23 17:14:09] [INFO ] FINCH               |  + Java-type analysis activated
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInGpsStatusListenerOnGpsStatusChangedChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAbsListViewSetChoiceModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAddressAddressLineChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInLayoutAnimationControllerSetOrderChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInLocationConvertCoordinateChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAlarmManagerSetChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInViewSetDrawingCacheQualityChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAnimationSetZAdjustmentChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInGestureStoreSetSequenceTypeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInContextBindServiceChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInDateUtilsFormatDateRangeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInDateUtilsGetAMPMStringChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInTimeSetMonthDayChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInParcelableWriteToParcelChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCriteriaSetAccuracyChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCameraParametersSetColorEffectChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInDateUtilsGetDayOfWeekStringChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAudioManagerSetVibrateSettingChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInTelephonyManagerListenChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInContextCreatePackageContextChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPackageManagerSetApplicationEnabledSettingChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInSensorManagerRegisterListenerChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCameraParametersSetFocusModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCameraParametersSetWhiteBalanceChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInIntentParseUriChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInInputMethodServiceSendDownUpKeyEventsChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAudioManagerAdjustStreamVolumeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPackageManagerFlagZeroChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPhoneStateListenerOnCallStateChangedChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInActivitySetProgressChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInIntentFilterSetPriorityChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInGeocoderGetFromLocationLongitudeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInActivityStartIntentSenderChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInBitmapCreateBitmapChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAnimationResolveSizeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCameraParametersSetSceneModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCameraParametersSetFlashModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInInputMethodServiceGetTextForImeActionChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInGLSurfaceViewSetRenderModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInViewFocusSearchChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInViewGroupSetPersistentDrawingCacheChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInIntentAddSetFlagsChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAudioRecordGetMinBufferSizeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInDateUtilsGetMonthStringChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInDrawableSetLevelChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPhoneNumberUtilsCalledPartyBCDToStringChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPackageManagerSetComponentEnabledSettingChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInActivityGetPreferenceChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCanvasSaveLayerChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInMetaKeyKeyListenerGetMetaStateChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInViewFocusChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAudioManagerShouldVibrateChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInLocationListenerOnStatusChangedChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInCameraParametersSetAntibandingChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAudioManagerGetVibrateSettingChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInVelocityTrackerComputeCurrentVelocityChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPopupWindowSetInputMethodModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAudioManagerSetRingerModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInViewGroupSetDescendantFocusabilityChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPhoneStateListenerOnDataConnectionStateChangedChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInBluetoothClassHasServiceChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInPaintSetTextSizeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInSoundEffectConstantsGetContantForFocusDirectionChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInViewSetVisibilityChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInMotionEventObtainChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInLocationConvertOutputTypeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInContextGetSystemServiceChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInTimeSetMonthChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInViewSetScrollBarStyleChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAlertDialogSetButtonChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInBinderTransactChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInIntentFilterAddDataPathChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInGestureStoreSetOrientationStyleChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInContextPermissionPidChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInAnimationSetRepeatModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInTextToSpeechQueueModeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInSensorManagerRemapCoordinateSystemChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.android.badparameter.BadParameterInDrawableSetAlphaChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.DoNotNotifyInSynchronizedChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.MultipleBindsToTheSamePortChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.BadOverrideChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.BadExceptionalConditionChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.ClassCastChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.BadCollectionRemovalIntegerTypeChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.LeftoverDebugCodeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.IteratorChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.SensitiveCookieInHttpsSessionWithoutSecureAttributeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.PasswordManagementPasswordInRedirectChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.DoNotAccessPrivateMemberOfOuterClassChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.UsingMessedLoopIncrementersChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.ReturnStatementInAFinallyBlockChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.IncorrectPermissionAssignmentForCriticalResourceChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.MutableHashCodeChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.ImplicitCastingCallChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.BadEqChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.BadMethodProtectedChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.UseOfInsufficientRandomValuesChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.PrivateCollectionChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.MethodIgnoresReturnValueChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.DoNotCallExecChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.MissingDefaultInSwitchBlockChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.DataLeakBetweenSessionsChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.BadMethodInnerClassChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.EqualsMethodIsOverloadedChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.UnreasedLockChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.InvocationOfEqualsOnArrayChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.DoNotUseNestedTryChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.ImproperAuthorizationChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.ImplicitCastingAssignmentChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.PublicDataAssignedToPrivateArrayChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.MutableComparisonChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.IncorrectSerialPersistentFieldsModifierChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.EmptyCatchBlockChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.WeakEncryptionInadequateRsaPaddingChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.ImpossibleDownCastOfToarrayChecker] is not enabled by configuration
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.AvoidFinalizersChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.DoNotUseNotifyChecker] loaded successfully
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.NeverUseRawTypeChecker] loaded successfully
[2021-10-23 17:14:10] [DEBUG] CHECKER_LOADER      |  + [X] Checker [com.fasoo.javafinch.syn.checker.basic.MethodNameIsNotIntendedChecker] is not enabled by configuration
[2021-10-23 17:14:10] [INFO ] CHECKER_LOADER      |  + [O] Checker [com.fasoo.javafinch.syn.checker.basic.DoubleCheckedLockingChecker] loaded successfully
